time,filteredPressure
-4.68,9.86
-4.66,19.71
-4.64,29.57
-4.62,39.43
-4.60,49.28
-4.58,59.14
-4.56,69.00
-4.54,78.85
-4.52,88.71
-4.50,98.57
-4.48,98.57
-4.46,98.57
-4.44,98.57
-4.42,98.57
-4.40,98.57
-4.38,98.56
-4.36,98.56
-4.34,98.56
-4.32,98.56
-4.30,98.56
-4.28,98.56
-4.26,98.56
-4.24,98.56
-4.22,98.56
-4.20,98.56
-4.18,98.57
-4.16,98.57
-4.14,98.57
-4.12,98.57
-4.10,98.57
-4.08,98.57
-4.06,98.57
-4.04,98.57
-4.02,98.57
-4.00,98.57
-3.98,98.56
-3.96,98.56
-3.94,98.56
-3.92,98.56
-3.90,98.56
-3.88,98.56
-3.86,98.56
-3.84,98.56
-3.82,98.56
-3.80,98.57
-3.78,98.57
-3.76,98.57
-3.74,98.57
-3.72,98.57
-3.70,98.57
-3.68,98.57
-3.66,98.57
-3.64,98.57
-3.62,98.57
-3.60,98.57
-3.58,98.57
-3.56,98.57
-3.54,98.57
-3.52,98.57
-3.50,98.57
-3.48,98.57
-3.46,98.57
-3.44,98.57
-3.42,98.57
-3.40,98.57
-3.38,98.57
-3.36,98.57
-3.34,98.57
-3.32,98.57
-3.30,98.57
-3.28,98.57
-3.26,98.57
-3.24,98.57
-3.22,98.56
-3.20,98.57
-3.18,98.57
-3.16,98.56
-3.14,98.56
-3.12,98.56
-3.10,98.56
-3.08,98.56
-3.06,98.56
-3.04,98.56
-3.02,98.56
-3.00,98.56
-2.98,98.56
-2.96,98.56
-2.94,98.56
-2.92,98.56
-2.90,98.56
-2.88,98.56
-2.86,98.56
-2.84,98.56
-2.82,98.56
-2.80,98.56
-2.78,98.56
-2.76,98.56
-2.74,98.57
-2.72,98.57
-2.70,98.57
-2.68,98.57
-2.66,98.57
-2.64,98.57
-2.62,98.57
-2.60,98.57
-2.58,98.57
-2.56,98.57
-2.54,98.57
-2.52,98.57
-2.50,98.57
-2.48,98.56
-2.46,98.56
-2.44,98.56
-2.42,98.56
-2.40,98.57
-2.38,98.57
-2.36,98.57
-2.34,98.57
-2.32,98.57
-2.30,98.57
-2.28,98.57
-2.26,98.57
-2.24,98.57
-2.22,98.57
-2.20,98.57
-2.18,98.57
-2.16,98.57
-2.14,98.57
-2.12,98.57
-2.10,98.57
-2.08,98.57
-2.06,98.57
-2.04,98.57
-2.02,98.57
-2.00,98.57
-1.98,98.57
-1.96,98.57
-1.94,98.57
-1.92,98.57
-1.90,98.57
-1.88,98.57
-1.86,98.57
-1.84,98.57
-1.82,98.57
-1.80,98.57
-1.78,98.57
-1.76,98.57
-1.74,98.57
-1.72,98.57
-1.70,98.57
-1.68,98.57
-1.66,98.57
-1.64,98.57
-1.62,98.57
-1.60,98.57
-1.58,98.57
-1.56,98.57
-1.54,98.57
-1.52,98.57
-1.50,98.57
-1.48,98.57
-1.46,98.56
-1.44,98.56
-1.42,98.57
-1.40,98.57
-1.38,98.57
-1.36,98.57
-1.34,98.57
-1.32,98.57
-1.30,98.57
-1.28,98.57
-1.26,98.57
-1.24,98.57
-1.22,98.57
-1.20,98.57
-1.18,98.57
-1.16,98.57
-1.14,98.57
-1.12,98.57
-1.10,98.57
-1.08,98.57
-1.06,98.57
-1.04,98.57
-1.02,98.57
-1.00,98.57
-0.98,98.57
-0.96,98.57
-0.94,98.57
-0.92,98.57
-0.90,98.57
-0.88,98.57
-0.86,98.57
-0.84,98.57
-0.82,98.57
-0.80,98.57
-0.78,98.57
-0.76,98.57
-0.74,98.57
-0.72,98.57
-0.70,98.57
-0.68,98.57
-0.66,98.57
-0.64,98.57
-0.62,98.57
-0.60,98.57
-0.58,98.57
-0.56,98.57
-0.54,98.57
-0.52,98.57
-0.50,98.57
-0.48,98.57
-0.46,98.57
-0.44,98.57
-0.42,98.57
-0.40,98.57
-0.38,98.56
-0.36,98.57
-0.34,98.57
-0.32,98.56
-0.30,98.56
-0.28,98.56
-0.26,98.56
-0.24,98.56
-0.22,98.56
-0.20,98.57
-0.18,98.57
-0.16,98.57
-0.14,98.57
-0.12,98.57
-0.10,98.57
-0.08,98.57
-0.06,98.57
-0.04,98.57
-0.02,98.57
0.00,98.57
0.02,98.57
0.04,98.57
0.06,98.57
0.08,98.57
